Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
b679307a1c554d8c542b07e52081bfec6ebf6f01,2,305.8495118,,,,,208.9501602,13.50419715,,,179.322,154.577,18.137,4.293,3,1,0
e3dc4bfdbc085b9e3877a19a7b5151bfa314c6d4,11,193.0831976,,,,,2475.671489,45.95270786,,,216.223,152.748,48.875,11.583,75,0.091,1
37af02346ffdfce9954298ce2386ea7f7b540fab,10,45.20079548,,,,,28440.33158,60.8045039,,,171.501,154.98,11.654,3.26,36,0,1
d1af83c96be9b720e8ee149dac4640dd7b7a07a9,10,407.7773177,,,,,8829.737413,55.70846869,,,197.884,152.695,35.507,7.185,70,0,1
c4234fbbd1b4da059ca7dad0bd17e23394a3c1b4,11,130.2135384,,,,,5657.699425,100.0782766,,,175.514,158.931,11.672,3.227,80,0,1
6ce4b2ad6748e2772e44ea83560fb8aa072f1900,13,87.0437131,,,,,44202.40701,55.19589089,,,170.03,153.244,11.79,3.346,43,0,1
3de9e92f098d2d9b37011ab3616fa28363afdda6,16,246.5502635,,,,,6397.557927,144.5531037,,,190.613,156.213,25.243,6.956,107,24.01,1
e697d4aad5e3e4b4df9dc7fb6364d312e7239ef0,10,44.36581216,,,,,6214.751192,17.77608514,,,172.27,156.482,11.005,1.703,447,0,1
b86ca3cf1cc9712fc2dd187a98b7f2f1692d9be6,16,209.3632234,,,,,5233.204426,127.022798,,,188.354,154.294,24.997,6.837,102,9.01,1
e970545f47185f8feb5ae8e8dd9003b26cdef8c7,14,562.2429889,,,,,6741.216509,47.26194079,,,176.12,153.45,16.157,3.933,89,217.2,0
f02ecfc668b346823009867ea2b82a1652f4b36d,17,381.8164458,,,,,49682.41832,55.46273697,,,194.985,155.928,28.479,7.104,64,30.36888889,1
a45ee59cf71fe346b669548f48a3f2d46fc2797e,13,146.9172793,,,,,15228.82794,89.67166234,,,170.167,153.279,11.89,3.252,59,0,1
,,,,,,,,,,,31913.032,23926.484,5925.204,1463.335,,,
,,,,,,,,,,,531.88/min,,,,,,
,,,,,,,,,,,8.86h,,,,,,
,,,,,,,,,,,平均207.2s,,,,,,
